dist,limit
730,85
6173,85
12497,85
14500,85
14794,80
17214,85
18940,60
19110,45
19264,65
19699,85
20504,85
20719,70
20846,65
22980,85
24209,80
24810,80
25830,65
28395,60
29330,75
30043,80
30938,70
32010,75
32135,70
32340,60
34185,85
34940,75
37420,85
41892,85
44690,65
53890,75
54190,80
55065,80
56681,85
57376,75
58930,55
59050,60
59210,65
