dist,limit
276,45
716,60
1216,60
1581,45
2916,55
6730,65
8973,45
9337,35
12890,50
12995,75
13725,75
13890,55
14075,75
14415,70
15393,70
15698,85
16609,70
16999,55
17144,75
17259,65
17682,85
18007,90
18532,80
20858,85
22463,85
23709,75
25011,75
25401,75
25739,65
26584,70
27094,90
27869,65
28610,90
29110,75
30234,75
32808,55
32953,85
33104,75
33949,75
34404,70
35194,45
